char_index,frame,abil,expected_damage,target,expected_hurt,hurt_type,field_char_index,iteration
1,24,Normal 0,591.7449479532929,1,0.0,,1,0
1,46,Normal 1,1161.2550233362601,1,0.0,,1,0
1,57,All Schemes to Know (Press),3088.67989513762,1,0.0,,1,0
1,57,All Schemes to Know (Press),1445.239850986655,2,0.0,,1,0
1,57,All Schemes to Know (Press),3088.67989513762,3,0.0,,1,0
2,93,Guhua Sword: Fatal Rainscreen,10139.64059472814,1,0.0,,2,0
2,93,Guhua Sword: Fatal Rainscreen,10139.64059472814,2,0.0,,2,0
2,93,Guhua Sword: Fatal Rainscreen,10139.64059472814,3,0.0,,2,0
1,97,Tri-Karma Purification,14548.506978850624,1,0.0,,2,0
1,97,Tri-Karma Purification,14548.506978850624,2,0.0,,2,0
1,97,Tri-Karma Purification,6807.465574950927,3,0.0,,2,0
2,117,Guhua Sword: Fatal Rainscreen,11539.876676857264,1,0.0,,2,0
2,117,Guhua Sword: Fatal Rainscreen,11539.876676857264,2,0.0,,2,0
2,117,Guhua Sword: Fatal Rainscreen,5228.5956842588885,3,0.0,,2,0
2,138,bloom,4172.559214116762,1,-161.2125150908749,Dendro Core,2,0
2,138,bloom,4172.559214116762,2,-161.2125150908749,Dendro Core,2,0
2,138,bloom,4172.559214116762,3,0.0,,2,0
2,156,bloom,4172.559214116762,1,0.0,,2,0
2,156,bloom,4172.559214116762,2,0.0,,2,0
2,156,bloom,4172.559214116762,3,0.0,,2,0
0,221,Blazing Blessing,2454.1002715007057,1,0.0,,0,0
0,221,Blazing Blessing,2454.1002715007057,2,0.0,,0,0
0,221,Blazing Blessing,2454.1002715007057,3,0.0,,0,0
0,222,burgeon,31417.271745598922,1,-1213.8491356254128,Dendro Core,0,0
0,222,burgeon,31894.733405755167,1,-1232.2965179496314,Dendro Core,0,0
0,222,burgeon,31417.271745598922,2,0.0,,0,0
0,222,burgeon,31894.733405755167,2,0.0,,0,0
0,222,burgeon,31417.271745598922,3,0.0,,0,0
0,222,burgeon,31894.733405755167,3,0.0,,0,0
1,274,Tri-Karma Purification,6807.465574950927,1,0.0,,0,0
1,274,Tri-Karma Purification,6807.465574950927,2,0.0,,0,0
1,274,Tri-Karma Purification,14548.506978850624,3,0.0,,0,0
0,276,Normal 0,701.9048865179094,1,0.0,,0,0
0,276,Normal 0,701.9048865179094,2,0.0,,0,0
0,276,Normal 0,701.9048865179094,3,0.0,,0,0
2,283,Guhua Sword: Raincutter,4232.403561494759,1,0.0,,0,0
2,283,Guhua Sword: Raincutter,1917.6571479358422,1,0.0,,0,0
0,309,Normal 1,689.7704347034138,1,0.0,,0,0
0,309,Normal 1,689.7704347034138,2,0.0,,0,0
0,309,Normal 1,689.7704347034138,3,0.0,,0,0
0,361,Crimson Ooyoroi,2149.6115160640834,1,0.0,,0,0
0,361,Crimson Ooyoroi,1317.0912854463193,2,0.0,,0,0
0,361,Crimson Ooyoroi,1317.0912854463193,3,0.0,,0,0
0,362,burgeon,31894.733405755167,1,-1232.2965179496314,Dendro Core,0,0
0,362,burgeon,31894.733405755167,2,-1232.2965179496314,Dendro Core,0,0
0,362,burgeon,31894.733405755167,3,0.0,,0,0
0,376,burning,2011.869893520949,1,-1710.0894094928067,Burning,0,0
0,376,burning,2011.869893520949,2,0.0,,0,0
0,376,burning,2011.869893520949,3,0.0,,0,0
0,391,burning,2011.869893520949,1,-1710.0894094928067,Burning,3,0
0,391,burning,2011.869893520949,2,0.0,,3,0
0,391,burning,2011.869893520949,3,0.0,,3,0
0,400,Fiery Collapse,1028.6235077434233,1,0.0,,3,0
0,400,Fiery Collapse,1028.6235077434233,2,0.0,,3,0
0,400,Fiery Collapse,1678.8061407529638,3,0.0,,3,0
3,401,Normal 0,557.3733352138456,1,0.0,,3,0
3,401,Normal 0,1156.5385231020255,2,0.0,,3,0
3,401,Normal 0,557.3733352138456,3,0.0,,3,0
3,402,swirl-pyro,5338.798591782363,1,0.0,,3,0
3,402,swirl-pyro (aoe),5338.798591782363,1,0.0,,3,0
3,402,swirl-pyro (aoe),5338.798591782363,2,0.0,,3,0
3,402,swirl-pyro,5338.798591782363,2,0.0,,3,0
3,402,swirl-pyro (aoe),5338.798591782363,3,0.0,,3,0
3,402,swirl-pyro (aoe),5338.798591782363,3,0.0,,3,0
2,409,Guhua Sword: Raincutter,4820.237389480141,1,0.0,,3,0
2,409,Guhua Sword: Raincutter,4820.237389480141,1,0.0,,3,0
2,409,Guhua Sword: Raincutter,4820.237389480141,1,0.0,,3,0
3,438,Charge Attack,1085.701316905325,1,0.0,,3,0
3,438,Charge Attack,2252.8085185522114,2,0.0,,3,0
3,438,Charge Attack,2252.8085185522114,3,0.0,,3,0
0,468,Fiery Collapse,1314.352259894374,1,0.0,,3,0
0,468,Fiery Collapse,1314.352259894374,2,0.0,,3,0
0,468,Fiery Collapse,1314.352259894374,3,0.0,,3,0
3,469,Normal 0,557.3733352138456,1,0.0,,3,0
0,469,burgeon,32372.195065911426,1,-1250.7439002738506,Dendro Core,3,0
0,469,burgeon,32849.656726067675,1,-1269.1912825980692,Dendro Core,3,0
3,469,Normal 0,1156.5385231020255,2,0.0,,3,0
0,469,burgeon,32372.195065911426,2,0.0,,3,0
0,469,burgeon,32849.656726067675,2,0.0,,3,0
3,469,Normal 0,1156.5385231020255,3,0.0,,3,0
0,469,burgeon,32372.195065911426,3,0.0,,3,0
0,469,burgeon,32849.656726067675,3,0.0,,3,0
1,473,Tri-Karma Purification,6807.465574950927,1,0.0,,3,0
1,473,Tri-Karma Purification,6807.465574950927,2,0.0,,3,0
1,473,Tri-Karma Purification,14548.506978850624,3,0.0,,3,0
2,477,Guhua Sword: Raincutter,4820.237389480141,1,0.0,,3,0
2,477,Guhua Sword: Raincutter,4820.237389480141,1,0.0,,3,0
2,477,Guhua Sword: Raincutter,2183.9984184824866,1,0.0,,3,0
2,477,Guhua Sword: Raincutter,2183.9984184824866,1,0.0,,3,0
2,477,Guhua Sword: Raincutter,4820.237389480141,1,0.0,,3,0
3,494,Normal 1,548.0998187277888,1,0.0,,3,0
3,494,Normal 1,548.0998187277888,2,0.0,,3,0
3,494,Normal 1,1137.2961618637873,3,0.0,,3,0
3,523,Normal 2,759.3785198016291,1,0.0,,3,0
3,523,Normal 2,759.3785198016291,2,0.0,,3,0
3,523,Normal 2,759.3785198016291,3,0.0,,3,0
0,528,Fiery Collapse,1314.352259894374,1,0.0,,3,0
0,528,Fiery Collapse,1314.352259894374,2,0.0,,3,0
0,528,Fiery Collapse,1314.352259894374,3,0.0,,3,0
0,529,burgeon,32849.656726067675,1,-1269.1912825980692,Dendro Core,3,0
0,529,burgeon,32849.656726067675,1,-1269.1912825980692,Dendro Core,3,0
0,529,burgeon,32849.656726067675,2,0.0,,3,0
0,529,burgeon,32849.656726067675,2,0.0,,3,0
0,529,burgeon,32849.656726067675,3,0.0,,3,0
0,529,burgeon,32849.656726067675,3,0.0,,3,0
2,537,Guhua Sword: Raincutter,4820.237389480141,1,0.0,,3,0
2,537,Guhua Sword: Raincutter,4820.237389480141,1,0.0,,3,0
3,564,Normal 3,219.85232952321365,1,0.0,,3,0
3,564,Normal 3,219.85232952321365,2,0.0,,3,0
3,564,Normal 3,456.1891867140779,3,0.0,,3,0
3,565,swirl-hydro,5686.981108637735,1,0.0,,3,0
3,570,Normal 3,501.7536458725471,1,0.0,,3,0
3,570,Normal 3,241.81131667415931,2,0.0,,3,0
3,570,Normal 3,241.81131667415931,3,0.0,,3,0
3,578,Normal 3,593.0640958992807,1,0.0,,3,0
3,578,Normal 3,285.8167769806363,2,0.0,,3,0
3,578,Normal 3,285.8167769806363,3,0.0,,3,0
0,588,Fiery Collapse,4197.582514192222,1,0.0,,3,0
0,588,Fiery Collapse,2145.141179851009,2,0.0,,3,0
0,588,Fiery Collapse,1314.352259894374,3,0.0,,3,0
0,589,burgeon,32849.656726067675,1,-1269.1912825980692,Dendro Core,3,0
0,589,burgeon,33327.11838622392,1,-1287.6386649222877,Dendro Core,3,0
0,589,burgeon,32849.656726067675,2,0.0,,3,0
0,589,burgeon,33327.11838622392,2,0.0,,3,0
0,589,burgeon,32849.656726067675,3,0.0,,3,0
0,589,burgeon,33327.11838622392,3,0.0,,3,0
2,597,Guhua Sword: Raincutter,2610.1444513571187,1,0.0,,3,0
2,597,Guhua Sword: Raincutter,5760.771514256756,1,0.0,,3,0
2,597,Guhua Sword: Raincutter,5760.771514256756,1,0.0,,3,0
3,607,Heartstopper Strike,13047.707156768225,1,0.0,,3,0
3,607,Heartstopper Strike,13047.707156768225,2,0.0,,3,0
3,607,Heartstopper Strike,13047.707156768225,3,0.0,,3,0
3,608,swirl-hydro,5686.981108637735,1,0.0,,3,0
3,608,swirl-pyro (aoe),5338.798591782363,1,0.0,,3,0
3,608,swirl-pyro (aoe),5338.798591782363,1,0.0,,3,0
3,608,swirl-pyro,5338.798591782363,2,0.0,,3,0
3,608,swirl-pyro (aoe),5338.798591782363,2,0.0,,3,0
3,608,swirl-pyro (aoe),5338.798591782363,3,0.0,,3,0
3,608,swirl-pyro,5338.798591782363,3,0.0,,3,0
3,643,Normal 0,1156.5385231020255,1,0.0,,3,0
3,643,Normal 0,557.3733352138456,2,0.0,,3,0
3,643,Normal 0,1156.5385231020255,3,0.0,,3,0
3,644,swirl-pyro,5338.798591782363,1,0.0,,3,0
3,644,swirl-pyro (aoe),5338.798591782363,1,0.0,,3,0
3,644,swirl-pyro (aoe),14778.148316263932,2,0.0,,3,0
3,644,swirl-pyro,5338.798591782363,2,0.0,,3,0
3,644,swirl-pyro (aoe),14778.148316263932,3,0.0,,3,0
3,644,swirl-pyro (aoe),14778.148316263932,3,0.0,,3,0
1,647,Tri-Karma Purification,7100.817974950926,1,0.0,,3,0
1,647,Tri-Karma Purification,15175.442126986623,2,0.0,,3,0
1,647,Tri-Karma Purification,15175.442126986623,3,0.0,,3,0
0,648,Fiery Collapse,1314.352259894374,1,0.0,,3,0
0,648,Fiery Collapse,1314.352259894374,2,0.0,,3,0
0,648,Fiery Collapse,1314.352259894374,3,0.0,,3,0
2,657,Guhua Sword: Raincutter,14042.977305138053,1,0.0,,3,0
2,657,Guhua Sword: Raincutter,5760.771514256756,1,0.0,,3,0
2,657,Guhua Sword: Raincutter,5760.771514256756,1,0.0,,3,0
2,657,Guhua Sword: Raincutter,5760.771514256756,1,0.0,,3,0
2,657,Guhua Sword: Raincutter,2610.1444513571187,1,0.0,,3,0
1,664,burning,2749.855397185767,2,-2337.3770876079016,Burning,3,0
1,664,burning,2749.855397185767,3,0.0,,3,0
3,668,Normal 1,1137.2961618637873,1,0.0,,3,0
3,668,Normal 1,548.0998187277888,2,0.0,,3,0
3,668,Normal 1,1137.2961618637873,3,0.0,,3,0
3,697,Normal 2,1575.6952410179842,1,0.0,,3,0
3,697,Normal 2,759.3785198016291,2,0.0,,3,0
3,697,Normal 2,759.3785198016291,3,0.0,,3,0
0,708,Fiery Collapse,1314.352259894374,1,0.0,,3,0
0,708,Fiery Collapse,1314.352259894374,2,0.0,,3,0
0,708,Fiery Collapse,1314.352259894374,3,0.0,,3,0
0,709,burgeon,34687.737478357005,1,-1340.2080389365206,Dendro Core,3,0
0,709,burgeon,34687.737478357005,1,-1340.2080389365206,Dendro Core,3,0
0,709,burgeon,34687.737478357005,2,0.0,,3,0
0,709,burgeon,34687.737478357005,2,0.0,,3,0
0,709,burgeon,34687.737478357005,3,0.0,,3,0
