frame,harm_type,expected_harm,discount
4917,Dendro Core,-2520.545721587967,1.0
4929,Burning,-1678.6796045277376,0.4
4950,Burning,-1678.6796045277376,0.4
4965,Burning,-1678.6796045277376,0.4
4977,Dendro Core,-2520.545721587967,1.0
4988,Burning,-2337.3770876079016,0.4
5003,Burning,-2337.3770876079016,0.4
5018,Burning,-2337.3770876079016,0.4
5019,Dendro Core,-1751.6656742898135,1.0
5101,Dendro Core,-2520.545721587967,1.0
5115,Burning,-2132.6631208837803,0.4
5130,Burning,-2132.6631208837803,0.4
5145,Burning,-2132.6631208837803,0.4
5160,Burning,-2337.3770876079016,0.4
5175,Burning,-2337.3770876079016,0.4
5244,Dendro Core,-468.07260421150124,1.0
5310,Dendro Core,-2520.545721587967,1.0
5450,Dendro Core,-2680.416077873041,1.0
5464,Burning,-2285.8722123236435,0.4
5479,Burning,-2285.8722123236435,0.4
5557,Dendro Core,-2680.416077873041,1.0
5617,Dendro Core,-2680.416077873041,1.0
5677,Dendro Core,-2680.416077873041,1.0
5752,Burning,-2337.3770876079016,0.4
5797,Dendro Core,-2680.416077873041,1.0
5857,Dendro Core,-2680.416077873041,1.0
5871,Burning,-2285.8722123236435,0.4
5892,Burning,-1678.6796045277376,0.4
5977,Dendro Core,-2680.416077873041,1.0
6037,Dendro Core,-2680.416077873041,1.0
6051,Burning,-2285.8722123236435,0.4
6066,Burning,-2285.8722123236435,0.4
6067,Dendro Core,-2680.416077873041,1.0
6090,Burning,-2337.3770876079016,0.4
6100,Dendro Core,-2520.545721587967,1.0
6111,Burning,-1678.6796045277376,0.4
6126,Burning,-1678.6796045277376,0.4
6141,Burning,-1678.6796045277376,0.4
6142,Dendro Core,-1751.6656742898135,1.0
6156,Burning,-1678.6796045277376,0.4
6189,Dendro Core,-2520.545721587967,1.0
6201,Burning,-1678.6796045277376,0.4
6222,Burning,-1678.6796045277376,0.4
6237,Burning,-1678.6796045277376,0.4
6249,Dendro Core,-2520.545721587967,1.0
6260,Burning,-2337.3770876079016,0.4
6275,Burning,-2337.3770876079016,0.4
6290,Burning,-2337.3770876079016,0.4
6291,Dendro Core,-1751.6656742898135,1.0
6373,Dendro Core,-2520.545721587967,1.0
6387,Burning,-2132.6631208837803,0.4
6402,Burning,-2132.6631208837803,0.4
6417,Burning,-2132.6631208837803,0.4
6432,Burning,-2337.3770876079016,0.4
6447,Burning,-2337.3770876079016,0.4
6516,Dendro Core,-468.07260421150124,1.0
6582,Dendro Core,-2520.545721587967,1.0
6722,Dendro Core,-2680.416077873041,1.0
6736,Burning,-2285.8722123236435,0.4
6751,Burning,-2285.8722123236435,0.4
6829,Dendro Core,-2680.416077873041,1.0
6889,Dendro Core,-2680.416077873041,1.0
6949,Dendro Core,-2680.416077873041,1.0
7024,Burning,-2337.3770876079016,0.4
7069,Dendro Core,-2680.416077873041,1.0
7129,Dendro Core,-2680.416077873041,1.0
7143,Burning,-2285.8722123236435,0.4
7164,Burning,-1678.6796045277376,0.4
7249,Dendro Core,-2680.416077873041,1.0
7309,Dendro Core,-2680.416077873041,1.0
7323,Burning,-2285.8722123236435,0.4
7338,Burning,-2285.8722123236435,0.4
7339,Dendro Core,-2680.416077873041,1.0
7362,Burning,-2337.3770876079016,0.4
7372,Dendro Core,-2520.545721587967,1.0
7383,Burning,-1678.6796045277376,0.4
7398,Burning,-1678.6796045277376,0.4
7413,Burning,-1678.6796045277376,0.4
7414,Dendro Core,-1751.6656742898135,1.0
7428,Burning,-1678.6796045277376,0.4
7461,Dendro Core,-2520.545721587967,1.0
7473,Burning,-1678.6796045277376,0.4
7494,Burning,-1678.6796045277376,0.4
7509,Burning,-1678.6796045277376,0.4
7521,Dendro Core,-2520.545721587967,1.0
7532,Burning,-2337.3770876079016,0.4
7547,Burning,-2337.3770876079016,0.4
7562,Burning,-2337.3770876079016,0.4
7563,Dendro Core,-1751.6656742898135,1.0
7645,Dendro Core,-2520.545721587967,1.0
7659,Burning,-2132.6631208837803,0.4
7674,Burning,-2132.6631208837803,0.4
7689,Burning,-2132.6631208837803,0.4
7704,Burning,-2337.3770876079016,0.4
7719,Burning,-2337.3770876079016,0.4
7788,Dendro Core,-468.07260421150124,1.0
7854,Dendro Core,-2520.545721587967,1.0
7994,Dendro Core,-2680.416077873041,1.0
8008,Burning,-2285.8722123236435,0.4
8023,Burning,-2285.8722123236435,0.4
8101,Dendro Core,-2680.416077873041,1.0
8161,Dendro Core,-2680.416077873041,1.0
8221,Dendro Core,-2680.416077873041,1.0
8296,Burning,-2337.3770876079016,0.4
8341,Dendro Core,-2680.416077873041,1.0
8401,Dendro Core,-2680.416077873041,1.0
8415,Burning,-2285.8722123236435,0.4
8436,Burning,-1678.6796045277376,0.4
8521,Dendro Core,-2680.416077873041,1.0
8581,Dendro Core,-2680.416077873041,1.0
8595,Burning,-2285.8722123236435,0.4
8610,Burning,-2285.8722123236435,0.4
8611,Dendro Core,-2680.416077873041,1.0
8634,Burning,-2337.3770876079016,0.4
8644,Dendro Core,-2520.545721587967,1.0
8655,Burning,-1678.6796045277376,0.4
8670,Burning,-1678.6796045277376,0.4
8685,Burning,-1678.6796045277376,0.4
8686,Dendro Core,-1751.6656742898135,1.0
8700,Burning,-1678.6796045277376,0.4
8733,Dendro Core,-2520.545721587967,1.0
8745,Burning,-1678.6796045277376,0.4
8766,Burning,-1678.6796045277376,0.4
8781,Burning,-1678.6796045277376,0.4
8793,Dendro Core,-2520.545721587967,1.0
8804,Burning,-2337.3770876079016,0.4
8819,Burning,-2337.3770876079016,0.4
8834,Burning,-2337.3770876079016,0.4
8835,Dendro Core,-1751.6656742898135,1.0
8917,Dendro Core,-2520.545721587967,1.0
8931,Burning,-2132.6631208837803,0.4
8946,Burning,-2132.6631208837803,0.4
8961,Burning,-2132.6631208837803,0.4
8976,Burning,-2337.3770876079016,0.4
8991,Burning,-2337.3770876079016,0.4
9060,Dendro Core,-468.07260421150124,1.0
9126,Dendro Core,-2520.545721587967,1.0
9266,Dendro Core,-2680.416077873041,1.0
9280,Burning,-2285.8722123236435,0.4
9295,Burning,-2285.8722123236435,0.4
9373,Dendro Core,-2680.416077873041,1.0
9433,Dendro Core,-2680.416077873041,1.0
9493,Dendro Core,-2680.416077873041,1.0
9568,Burning,-2337.3770876079016,0.4
9613,Dendro Core,-2680.416077873041,1.0
9673,Dendro Core,-2680.416077873041,1.0
9687,Burning,-2285.8722123236435,0.4
9708,Burning,-1678.6796045277376,0.4
9793,Dendro Core,-2680.416077873041,1.0
9853,Dendro Core,-2680.416077873041,1.0
9867,Burning,-2285.8722123236435,0.4
9882,Burning,-2285.8722123236435,0.4
9883,Dendro Core,-2680.416077873041,1.0
9906,Burning,-2337.3770876079016,0.4
9916,Dendro Core,-2520.545721587967,1.0
9927,Burning,-1678.6796045277376,0.4
9942,Burning,-1678.6796045277376,0.4
9957,Burning,-1678.6796045277376,0.4
9958,Dendro Core,-1751.6656742898135,1.0
9972,Burning,-1678.6796045277376,0.4
10005,Dendro Core,-2520.545721587967,1.0
10017,Burning,-1678.6796045277376,0.4
10038,Burning,-1678.6796045277376,0.4
10053,Burning,-1678.6796045277376,0.4
10065,Dendro Core,-2520.545721587967,1.0
10076,Burning,-2337.3770876079016,0.4
10091,Burning,-2337.3770876079016,0.4
10106,Burning,-2337.3770876079016,0.4
10107,Dendro Core,-1751.6656742898135,1.0
10189,Dendro Core,-2520.545721587967,1.0
10203,Burning,-2132.6631208837803,0.4
10218,Burning,-2132.6631208837803,0.4
10233,Burning,-2132.6631208837803,0.4
10248,Burning,-2337.3770876079016,0.4
10263,Burning,-2337.3770876079016,0.4
10332,Dendro Core,-468.07260421150124,1.0
10398,Dendro Core,-2520.545721587967,1.0
10538,Dendro Core,-2680.416077873041,1.0
10552,Burning,-2285.8722123236435,0.4
10567,Burning,-2285.8722123236435,0.4
10645,Dendro Core,-2680.416077873041,1.0
10705,Dendro Core,-2680.416077873041,1.0
10765,Dendro Core,-2680.416077873041,1.0
10840,Burning,-2337.3770876079016,0.4
10885,Dendro Core,-2680.416077873041,1.0
10945,Dendro Core,-2680.416077873041,1.0
10959,Burning,-2285.8722123236435,0.4
10980,Burning,-1678.6796045277376,0.4
11065,Dendro Core,-2680.416077873041,1.0
11125,Dendro Core,-2680.416077873041,1.0
11139,Burning,-2285.8722123236435,0.4
11154,Burning,-2285.8722123236435,0.4
11155,Dendro Core,-2680.416077873041,1.0
11178,Burning,-2337.3770876079016,0.4
11188,Dendro Core,-2520.545721587967,1.0
11199,Burning,-1678.6796045277376,0.4
11214,Burning,-1678.6796045277376,0.4
11229,Burning,-1678.6796045277376,0.4
11230,Dendro Core,-1751.6656742898135,1.0
11244,Burning,-1678.6796045277376,0.4
11277,Dendro Core,-2520.545721587967,1.0
11289,Burning,-1678.6796045277376,0.4
11310,Burning,-1678.6796045277376,0.4
11325,Burning,-1678.6796045277376,0.4
11337,Dendro Core,-2520.545721587967,1.0
11348,Burning,-2337.3770876079016,0.4
11363,Burning,-2337.3770876079016,0.4
11378,Burning,-2337.3770876079016,0.4
11379,Dendro Core,-1751.6656742898135,1.0
11461,Dendro Core,-2520.545721587967,1.0
11475,Burning,-2132.6631208837803,0.4
11490,Burning,-2132.6631208837803,0.4
11505,Burning,-2132.6631208837803,0.4
11520,Burning,-2337.3770876079016,0.4
11535,Burning,-2337.3770876079016,0.4
11604,Dendro Core,-468.07260421150124,1.0
11670,Dendro Core,-2520.545721587967,1.0
11810,Dendro Core,-2680.416077873041,1.0
11824,Burning,-2285.8722123236435,0.4
11839,Burning,-2285.8722123236435,0.4
11917,Dendro Core,-2680.416077873041,1.0
11977,Dendro Core,-2680.416077873041,1.0
12037,Dendro Core,-2680.416077873041,1.0
12112,Burning,-2337.3770876079016,0.4
12157,Dendro Core,-2680.416077873041,1.0
12217,Dendro Core,-2680.416077873041,1.0
12231,Burning,-2285.8722123236435,0.4
12252,Burning,-1678.6796045277376,0.4
12337,Dendro Core,-2680.416077873041,1.0
12397,Dendro Core,-2680.416077873041,1.0
12411,Burning,-2285.8722123236435,0.4
12426,Burning,-2285.8722123236435,0.4
12427,Dendro Core,-2680.416077873041,1.0
12450,Burning,-2337.3770876079016,0.4
12460,Dendro Core,-2520.545721587967,1.0
12471,Burning,-1678.6796045277376,0.4
12486,Burning,-1678.6796045277376,0.4
12501,Burning,-1678.6796045277376,0.4
12502,Dendro Core,-1751.6656742898135,1.0
12516,Burning,-1678.6796045277376,0.4
12549,Dendro Core,-2520.545721587967,1.0
12561,Burning,-1678.6796045277376,0.4
12582,Burning,-1678.6796045277376,0.4
12597,Burning,-1678.6796045277376,0.4
12609,Dendro Core,-2520.545721587967,1.0
12620,Burning,-2337.3770876079016,0.4
12635,Burning,-2337.3770876079016,0.4
12650,Burning,-2337.3770876079016,0.4
12651,Dendro Core,-1751.6656742898135,1.0
